id,titulo,genero,rating
1,Docks of new york,Accion,8.500000
5,Disneyland dream,Accion,8.900000
7,Who is john galt,Accion,5.800000
8,How to survive a plague,Accion,3.100000
12,Romantic comedy,Accion,2.900000
15,Dragonquest,Accion,7.900000
18,Chu chin chow,Accion,2.300000
25,Kick ass,Accion,3.200000
33,The snow white murder case,Accion,4.200000
49,Horrible bosses 2,Accion,4.000000
51,Robot carnival,Accion,7.600000
54,Heartlands,Accion,2.200000
59,1969,Accion,2.500000
60,Flying down to rio,Accion,9.200000
63,Invaders from mars,Accion,8.500000
65,10 000 timmar,Accion,6.600000
74,In america,Accion,7.800000
76,North to alaska,Accion,7.000000
87,Je appelle elisabeth,Accion,4.900000
93,Ordinary decent criminal,Accion,4.900000
96,Way we laughed,Accion,4.200000
100,You kill me,Accion,10.000000
