id,titulo,genero,rating
9,The man from the alamo,Comedia,8.700000
11,Musketeer,Comedia,4.100000
16,North face,Comedia,6.400000
17,Satans tango ,Comedia,8.100000
19,Cannibal holocaust,Comedia,5.300000
20,Boy meets boy,Comedia,8.300000
22,Naked in new york,Comedia,7.100000
26,In the cut,Comedia,8.900000
31,Floundering,Comedia,4.200000
32,Chance of a lifetime,Comedia,4.300000
37,Designing woman,Comedia,8.300000
39,Bone collector,Comedia,6.900000
40,Saturday night fever,Comedia,9.700000
41,Brute the bruto,Comedia,7.300000
44,Summer in berlin,Comedia,2.200000
47,Raiders of the lost ark,Comedia,3.400000
56,Minions,Comedia,7.200000
61,Wednesday,Comedia,10.000000
66,My sassy girl,Comedia,8.900000
75,Big mommas like father,Comedia,3.700000
77,Doubt,Comedia,5.900000
79,Kanine,Comedia,1.800000
84,Greatest show on earth,Comedia,7.700000
85,Quicksilver highway,Comedia,1.200000
91,Take me out to the ball game,Comedia,8.600000
97,Vie en rose,Comedia,6.100000
