id,titulo,genero,rating
5,Disneyland dream,Drama,3.900000
7,Who is john galt,Drama,7.000000
11,Musketeer,Drama,9.600000
15,Dragonquest,Drama,9.200000
17,Satans tango ,Drama,1.800000
18,Chu chin chow,Drama,7.800000
24,Tic code,Drama,1.600000
25,Kick ass,Drama,8.900000
29,Dirty work,Drama,6.900000
33,The snow white murder case,Drama,1.900000
34,Yonkers joe,Drama,5.800000
35,With love,Drama,8.500000
42,Experiment in terror,Drama,1.700000
43,At the earths core,Drama,5.700000
47,Raiders of the lost ark,Drama,1.100000
49,Horrible bosses 2,Drama,2.300000
52,That touch of mink,Drama,3.900000
55,Divorcee,Drama,6.500000
56,Minions,Drama,2.100000
58,Link,Drama,1.000000
61,Wednesday,Drama,2.500000
67,Mystery science theater 3000,Drama,8.700000
68,Mountaintop motel massacre,Drama,3.000000
75,Big mommas like father,Drama,5.700000
77,Doubt,Drama,2.100000
80,Surfs up,Drama,7.300000
83,Dodge city,Drama,6.100000
